timestamp,lat,lon,alt,climb_rate,vn,ve,vup,roll_deg,pitch_deg,yaw_deg,p_rads,q_rads,r_rads,ax_body,ay_body,az_body,ax_world,ay_world,az_world,u1_pwm,u2_pwm,u3_pwm,u4_pwm,thrust_total_N,battery_pct,wind_speed_mps,wind_heading_deg
0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1e-05,-3e-05,0.0,0.002,0.0005,0.0008,0.002,0.0005,9.8108,0.0,0.0,0.0,0.0,0.0,100.0,0.0,45.0
0.008,-0.0,0.0,0.0,0.012,-0.0,0.0,0.012,0.002,-0.001,360.0,0.00681,-0.0046,-0.00015,-0.004,0.0018,-25.6213,-0.0038,0.0021,-3.0013,0.8061,0.8005,0.7828,0.8131,12.81,100.0,0.0,45.0
0.012,0.0,0.0,0.0001,0.024,0.0,0.0,0.024,0.002,-0.003,360.0,0.0035,-0.01015,-0.00053,0.0036,-0.0024,-25.6195,0.0044,-0.0018,-2.9995,0.7956,0.8187,0.7912,0.7971,12.81,100.0,0.0,45.0
0.016,0.0,0.0,0.0003,0.036,0.0,0.0,0.036,0.004,-0.007,360.0,0.00799,-0.0137,-0.00054,0.0027,0.0019,-25.6184,0.0042,0.0028,-2.9984,0.8022,0.7997,0.7898,0.8108,12.81,100.0,0.0,45.0
0.02,0.0,0.0,0.0005,0.048,0.0,0.0,0.048,0.005,-0.009,360.0,0.00188,-0.01086,-0.00047,0.0007,0.0023,-25.6178,0.0028,0.0033,-2.9978,0.795,0.8038,0.8138,0.7899,12.81,100.0,0.0,45.0
0.024,0.0,0.0,0.0007,0.06,0.0,0.0,0.06,0.002,-0.011,360.0,-0.00995,-0.009,-0.00041,-0.0001,-0.0016,-25.6163,0.0024,-0.0011,-2.9963,0.7863,0.8126,0.8199,0.7837,12.81,99.99,0.0,45.0
0.028,0.0,0.0,0.001,0.0719,0.0001,0.0,0.0719,0.001,-0.011,360.0,-0.00538,0.00185,3e-05,-0.001,0.0028,-25.614,0.0013,0.003,-2.994,0.8134,0.7727,0.8166,0.7998,12.81,99.99,0.0,45.0
0.032,0.0,0.0,0.0013,0.0839,0.0001,0.0,0.0839,0.0,-0.012,360.0,-0.00376,-0.00373,8e-05,0.0072,0.0024,-25.6156,0.0098,0.0025,-2.9955,0.7947,0.8049,0.7922,0.8107,12.81,99.99,0.0,45.0
0.036,0.0,0.0,0.0017,0.0959,0.0001,0.0001,0.0959,-0.0,-0.012,360.0,-0.00111,-0.00146,0.00039,-0.0001,0.0018,-25.6138,0.0026,0.0018,-2.9938,0.8016,0.7886,0.8057,0.8066,12.81,99.99,0.0,45.0
0.04,0.0,0.0,0.0022,0.1079,0.0001,0.0001,0.1079,-0.0,-0.014,360.0,-0.001,-0.00826,-0.00026,0.0015,0.0021,-25.6156,0.0046,0.0021,-2.9956,0.8031,0.8208,0.7803,0.7984,12.81,99.99,0.0,45.0
0.044,0.0,0.0,0.0026,0.1199,0.0001,0.0001,0.1199,-0.0,-0.015,359.999,0.00063,-0.00479,-0.0007,-0.0009,0.0014,-25.6133,0.0024,0.0013,-2.9933,0.815,0.8016,0.7954,0.7905,12.81,99.99,0.0,45.0
0.048,0.0,0.0,0.0032,0.1318,0.0001,0.0001,0.1318,0.001,-0.015,359.999,0.00268,-0.00239,-0.00084,0.0001,0.0001,-25.6081,0.0036,0.0002,-2.9881,0.8089,0.7971,0.7987,0.7977,12.81,99.99,0.0,45.0
0.052,0.0,0.0,0.0037,0.1438,0.0001,0.0001,0.1438,0.001,-0.017,359.999,0.00081,-0.00508,-0.00121,-0.0042,0.0006,-25.6128,-0.0005,0.0007,-2.9928,0.8009,0.8132,0.793,0.7954,12.81,99.99,0.0,45.0
0.056,0.0,0.0,0.0044,0.1557,0.0002,0.0001,0.1557,0.001,-0.018,359.999,0.00104,-0.00697,-0.00107,0.0002,0.0003,-25.6095,0.0042,0.0005,-2.9895,0.7961,0.8005,0.8002,0.8057,12.81,99.99,0.0,45.0
0.06,0.0,0.0,0.005,0.1677,0.0002,0.0001,0.1677,-0.0,-0.019,359.998,-0.00458,-0.00349,-0.00123,0.0017,0.0033,-25.6097,0.006,0.0032,-2.9897,0.8004,0.8062,0.8102,0.7858,12.81,99.99,0.0,45.0
0.064,0.0,0.0,0.0058,0.1797,0.0002,0.0001,0.1797,-0.001,-0.019,359.998,-0.00311,0.00065,-0.00141,0.0011,0.0023,-25.6097,0.0053,0.0021,-2.9897,0.8112,0.7964,0.8011,0.7938,12.81,99.98,0.0,45.0
0.068,0.0,0.0,0.0065,0.1916,0.0002,0.0001,0.1916,-0.002,-0.019,359.998,-0.00453,-0.00151,-0.00167,-0.0011,-0.0013,-25.6085,0.0031,-0.0017,-2.9885,0.8004,0.8099,0.795,0.7971,12.81,99.98,0.0,45.0
0.072,0.0,0.0,0.0073,0.2036,0.0002,0.0001,0.2036,-0.003,-0.019,359.997,-0.00488,0.00079,-0.00126,0.0003,-0.0005,-25.6108,0.0045,-0.0012,-2.9908,0.7961,0.7909,0.8112,0.8042,12.81,99.98,0.0,45.0
0.076,0.0,0.0,0.0082,0.2155,0.0002,0.0001,0.2155,-0.004,-0.02,359.997,-0.00604,-0.00526,-0.00091,-0.0034,-0.0013,-25.6082,0.0012,-0.0023,-2.9882,0.7849,0.8042,0.8001,0.8133,12.81,99.98,0.0,45.0
0.08,0.0,0.0,0.0091,0.2275,0.0003,0.0001,0.2275,-0.007,-0.022,359.997,-0.01233,-0.00705,-0.00048,0.005,-0.0033,-25.6051,0.0099,-0.0049,-2.9851,0.7826,0.8035,0.8142,0.8022,12.81,99.98,0.0,45.0
0.084,0.0,0.0,0.0101,0.2394,0.0003,0.0,0.2394,-0.01,-0.022,359.997,-0.01189,-0.00065,5e-05,-0.0035,0.0017,-25.6062,0.0014,-0.0005,-2.9862,0.8003,0.7825,0.8177,0.802,12.81,99.98,0.0,45.0
0.088,0.0,0.0,0.0111,0.2514,0.0003,0.0,0.2514,-0.012,-0.023,359.997,-0.00738,-0.00668,0.00054,-0.0038,0.0015,-25.605,0.0014,-0.0011,-2.985,0.7901,0.7944,0.7949,0.823,12.81,99.98,0.0,45.0
0.092,0.0,0.0,0.0121,0.2633,0.0003,0.0001,0.2633,-0.013,-0.025,359.997,-0.00611,-0.00519,0.00027,0.002,0.0055,-25.6049,0.0075,0.0026,-2.9849,0.8089,0.8018,0.7964,0.7954,12.81,99.98,0.0,45.0
0.096,0.0,0.0,0.0132,0.2752,0.0004,0.0,0.2752,-0.015,-0.025,359.997,-0.00677,-0.00238,0.00061,0.005,-0.0011,-25.6037,0.0106,-0.0044,-2.9837,0.7976,0.7916,0.8114,0.8019,12.81,99.98,0.0,45.0
0.1,0.0,0.0,0.0144,0.2872,0.0004,0.0,0.2872,-0.017,-0.027,359.998,-0.01078,-0.00784,0.0014,0.0011,0.0016,-25.6039,0.0071,-0.0022,-2.9839,0.7744,0.7995,0.8124,0.8161,12.81,99.98,0.0,45.0
0.104,0.0,0.0,0.0156,0.2991,0.0004,0.0,0.2991,-0.019,-0.029,359.998,-0.00713,-0.01059,0.00137,-0.0032,0.0018,-25.6034,0.0033,-0.0024,-2.9834,0.8021,0.8,0.7916,0.8087,12.81,99.97,0.0,45.0
0.108,0.0,0.0,0.0168,0.311,0.0004,0.0,0.311,-0.02,-0.033,359.998,-0.00659,-0.01474,0.00088,-0.001,0.0004,-25.6016,0.0063,-0.0041,-2.9816,0.8044,0.814,0.7858,0.7983,12.81,99.97,0.0,45.0
